user_id,month_start,fold,split
user11,2022-01-01,1,train
user11,2022-02-01,1,train
user11,2022-03-01,1,train
user11,2022-04-01,1,train
user11,2022-08-01,1,val
user13,2024-03-01,1,train
user13,2024-04-01,1,train
user13,2024-05-01,1,train
user13,2024-06-01,1,train
user13,2024-09-01,1,train
user13,2024-10-01,1,val
user14,2024-06-01,1,train
user14,2024-07-01,1,train
user14,2024-08-01,1,train
user14,2024-09-01,1,train
user14,2024-10-01,1,train
user14,2024-11-01,1,train
user14,2024-12-01,1,train
user14,2025-01-01,1,train
user14,2025-02-01,1,train
user14,2025-03-01,1,train
user14,2025-04-01,1,val
user14,2025-05-01,1,val
user15,2023-09-01,1,train
user15,2023-10-01,1,train
user15,2023-11-01,1,train
user15,2023-12-01,1,train
user15,2024-03-01,1,train
user15,2024-04-01,1,train
user15,2024-05-01,1,val
user2,2024-03-01,1,train
user2,2024-04-01,1,train
user2,2024-05-01,1,train
user2,2024-09-01,1,val
user8,2023-10-01,1,train
user8,2023-11-01,1,train
user8,2023-12-01,1,train
user8,2024-01-01,1,train
user8,2024-02-01,1,val
user10,2021-10-01,2,train
user10,2021-11-01,2,val
user11,2022-01-01,2,train
user11,2022-02-01,2,train
user11,2022-03-01,2,train
user11,2022-04-01,2,train
user11,2022-08-01,2,train
user11,2022-09-01,2,val
user12,2023-03-01,2,train
user12,2023-04-01,2,train
user12,2023-05-01,2,train
user12,2023-06-01,2,train
user12,2023-09-01,2,val
user13,2024-03-01,2,train
user13,2024-04-01,2,train
user13,2024-05-01,2,train
user13,2024-06-01,2,train
user13,2024-09-01,2,train
user13,2024-10-01,2,train
user13,2024-11-01,2,val
user14,2024-06-01,2,train
user14,2024-07-01,2,train
user14,2024-08-01,2,train
user14,2024-09-01,2,train
user14,2024-10-01,2,train
user14,2024-11-01,2,train
user14,2024-12-01,2,train
user14,2025-01-01,2,train
user14,2025-02-01,2,train
user14,2025-03-01,2,train
user14,2025-04-01,2,train
user14,2025-05-01,2,train
user14,2025-06-01,2,val
user14,2025-07-01,2,val
user15,2023-09-01,2,train
user15,2023-10-01,2,train
user15,2023-11-01,2,train
user15,2023-12-01,2,train
user15,2024-03-01,2,train
user15,2024-04-01,2,train
user15,2024-05-01,2,train
user15,2024-06-01,2,val
user16,2025-03-01,2,train
user16,2025-04-01,2,train
user16,2025-05-01,2,train
user16,2025-06-01,2,train
user16,2025-09-01,2,val
user7,2022-10-01,2,train
user7,2022-11-01,2,train
user7,2022-12-01,2,train
user7,2023-02-01,2,train
user7,2023-03-01,2,val
user8,2023-10-01,2,train
user8,2023-11-01,2,train
user8,2023-12-01,2,train
user8,2024-01-01,2,train
user8,2024-02-01,2,train
user8,2024-03-01,2,val
user9,2024-10-01,2,train
user9,2024-12-01,2,train
user9,2025-03-01,2,train
user9,2025-04-01,2,val
user1,2023-09-01,3,train
user1,2023-10-01,3,train
user1,2023-11-01,3,val
user11,2022-01-01,3,train
user11,2022-02-01,3,train
user11,2022-03-01,3,train
user11,2022-04-01,3,train
user11,2022-08-01,3,train
user11,2022-09-01,3,train
user11,2022-10-01,3,val
user12,2023-03-01,3,train
user12,2023-04-01,3,train
user12,2023-05-01,3,train
user12,2023-06-01,3,train
user12,2023-09-01,3,train
user12,2023-10-01,3,val
user13,2024-03-01,3,train
user13,2024-04-01,3,train
user13,2024-05-01,3,train
user13,2024-06-01,3,train
user13,2024-09-01,3,train
user13,2024-10-01,3,train
user13,2024-11-01,3,train
user13,2024-12-01,3,val
user14,2024-06-01,3,train
user14,2024-07-01,3,train
user14,2024-08-01,3,train
user14,2024-09-01,3,train
user14,2024-10-01,3,train
user14,2024-11-01,3,train
user14,2024-12-01,3,train
user14,2025-01-01,3,train
user14,2025-02-01,3,train
user14,2025-03-01,3,train
user14,2025-04-01,3,train
user14,2025-05-01,3,train
user14,2025-06-01,3,train
user14,2025-07-01,3,train
user14,2025-08-01,3,val
user14,2025-09-01,3,val
user15,2023-09-01,3,train
user15,2023-10-01,3,train
user15,2023-11-01,3,train
user15,2023-12-01,3,train
user15,2024-03-01,3,train
user15,2024-04-01,3,train
user15,2024-05-01,3,train
user15,2024-06-01,3,train
user15,2024-09-01,3,val
user16,2025-03-01,3,train
user16,2025-04-01,3,train
user16,2025-05-01,3,train
user16,2025-06-01,3,train
user16,2025-09-01,3,train
user16,2025-10-01,3,val
user2,2024-03-01,3,train
user2,2024-04-01,3,train
user2,2024-05-01,3,train
user2,2024-09-01,3,train
user2,2024-10-01,3,val
user3,2025-04-01,3,train
user3,2025-05-01,3,train
user3,2025-10-01,3,val
user7,2022-10-01,3,train
user7,2022-11-01,3,train
user7,2022-12-01,3,train
user7,2023-02-01,3,train
user7,2023-03-01,3,train
user7,2023-04-01,3,val
user8,2023-10-01,3,train
user8,2023-11-01,3,train
user8,2023-12-01,3,train
user8,2024-01-01,3,train
user8,2024-02-01,3,train
user8,2024-03-01,3,train
user8,2024-04-01,3,val
